"clie_ti";"cliente";"tipo_cliente";"fecha";"vigencia_tipo"
8096;6550;2;2015-07-17 00:00:00;2015-07-17 00:00:00
8097;6551;1;2015-07-20 00:00:00;
8098;6552;2;2015-07-18 00:00:00;2015-07-18 00:00:00
8099;5850;2;2013-07-11 00:00:00;2013-07-11 00:00:00
8100;5622;4;2012-11-02 00:00:00;2012-11-02 00:00:00
8101;4060;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8102;5921;4;2013-10-07 00:00:00;2013-10-07 00:00:00
8103;4420;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8104;5361;4;2012-03-09 00:00:00;2012-03-09 00:00:00
8105;6553;1;2015-07-21 00:00:00;
8106;6554;2;2015-07-21 00:00:00;2015-07-21 00:00:00
8107;6553;2;2015-07-21 00:00:00;
8108;6551;2;2015-07-20 00:00:00;
8109;6555;1;2015-07-22 00:00:00;
8110;6556;2;2015-07-21 00:00:00;2015-07-21 00:00:00
8111;6555;2;2015-07-22 00:00:00;2015-07-22 00:00:00
8112;5955;2;2015-07-22 00:00:00;2015-07-22 00:00:00
8113;6557;1;2015-07-23 00:00:00;
8114;6558;1;2015-07-23 00:00:00;
8115;6557;2;2015-07-23 00:00:00;2015-07-23 00:00:00
8116;6558;2;2015-07-23 00:00:00;2015-07-23 00:00:00
8117;6074;2;2015-07-04 00:00:00;2015-07-04 00:00:00
8118;6512;2;2015-06-29 00:00:00;2015-06-29 00:00:00
8119;6559;1;2015-07-23 00:00:00;
8120;6559;2;2015-07-23 00:00:00;2015-07-23 00:00:00
8121;6560;1;2015-07-24 00:00:00;
8122;6560;2;2015-07-24 00:00:00;2015-07-24 00:00:00
8123;5891;2;2015-07-25 00:00:00;2015-07-25 00:00:00
8124;6561;1;2015-07-29 00:00:00;2015-07-29 00:00:00
8125;6562;1;2015-07-29 00:00:00;2015-07-29 00:00:00
8126;6563;1;2015-07-29 00:00:00;
8127;6563;2;2015-07-29 00:00:00;2015-07-29 00:00:00
8128;3785;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8129;6564;1;2015-07-30 00:00:00;
8130;6565;1;2015-07-30 00:00:00;
8131;6564;2;2015-07-30 00:00:00;2015-07-30 00:00:00
8132;6565;2;2015-07-30 00:00:00;2015-07-30 00:00:00
8133;6566;1;2015-07-30 00:00:00;
8134;6566;2;2015-07-30 00:00:00;2015-07-30 00:00:00
8135;3681;1;2015-07-31 00:00:00;
8136;6567;1;2015-07-30 00:00:00;
8137;3681;2;2015-07-31 00:00:00;2015-07-31 00:00:00
8138;6567;2;2015-07-31 00:00:00;2015-07-31 00:00:00
8139;6568;1;2015-07-31 00:00:00;2015-07-31 00:00:00
8140;5229;1;2015-08-03 00:00:00;
8141;5229;2;2015-08-03 00:00:00;2015-08-03 00:00:00
8142;6569;1;2015-08-03 00:00:00;
8143;6570;1;2015-08-03 00:00:00;
8144;6570;2;2015-08-03 00:00:00;2015-08-03 00:00:00
8145;6569;2;2015-08-03 00:00:00;2015-08-03 00:00:00
8146;6571;1;2015-08-04 00:00:00;
8147;6571;2;2015-08-04 00:00:00;2015-08-04 00:00:00
8148;6572;1;2015-08-04 00:00:00;
8149;6572;2;2015-08-04 00:00:00;2015-08-04 00:00:00
8150;5036;1;2015-08-05 00:00:00;
8151;6573;2;2015-08-05 00:00:00;2015-08-05 00:00:00
8152;5036;2;2015-08-05 00:00:00;2015-08-05 00:00:00
8153;6574;1;2015-08-06 00:00:00;
8154;6574;2;2015-08-06 00:00:00;2015-08-06 00:00:00
8155;6575;1;2015-08-07 00:00:00;
8156;6575;2;2015-08-07 00:00:00;2015-08-07 00:00:00
8157;6576;2;2015-08-07 00:00:00;2015-08-07 00:00:00
8158;6577;1;2015-08-07 00:00:00;
8159;6577;2;2015-08-07 00:00:00;2015-08-07 00:00:00
8160;6578;2;2015-08-07 00:00:00;2015-08-07 00:00:00
8161;6579;2;2015-08-07 00:00:00;2015-08-07 00:00:00
8162;6580;2;2015-08-08 00:00:00;2015-08-08 00:00:00
8163;6581;1;2015-08-10 00:00:00;2015-08-10 00:00:00
8164;3979;2;2011-05-30 00:00:00;2011-05-30 00:00:00
8165;6582;2;2015-08-11 00:00:00;2015-08-11 00:00:00
8166;5587;1;2015-08-11 00:00:00;
